Word,TF-IDF Value
cwk,0.014186576850301287
kernel,0.010111189791308801
semantic,0.006332714803856558
hotk,0.005841531644241706
weighting,0.005156185983469502
documents,0.005010970431393432
terms,0.005006172707693998
term,0.004804332475459683
matrix,0.004427354667983258
class,0.004190024684466179
ihosk,0.00398746135333537
text,0.0035128452508737464
training,0.0033695393224863444
set,0.0033520197475729423
classification,0.00308072166627323
kernels,0.003054995151919328
linear,0.0030449078756997153
document,0.003003417758827831
tf,0.002990456331304999
representation,0.002728055856602317
bow,0.0023797024376812927
order,0.002374347321197501
words,0.0021989308591418046
eq,0.002109348811419342
smoothing,0.0020767057856284714
word,0.001963060581370623
space,0.001893648809138406
gain,0.001874976721261637
idf,0.001862375820794055
classes,0.001859145630489999
information,0.0018156773632686772
wordnet,0.001812295106273971
similarity,0.001776196260824834
feature,0.0017698711793092574
also,0.0017691215334412751
svm,0.0017586148291568358
function,0.0017487537542322544
higher,0.0016847696612431722
number,0.0016366333852076533
performance,0.0016294540439590693
different,0.0015828982141316674
pp,0.0015497846695031233
corpus,0.0015495741337941404
ing,0.0015224539378498577
accuracy,0.0015017088794139154
two,0.0014897865544768634
mentioned,0.0014843565709987958
requency,0.0014741872644792994
relatedness,0.0014724897738476015
values,0.001448076419434847
